,time stamp,date,hour,Daikin.Energy,Pump.Energy,Resistance.Energy,Daikin.Power,Pump.Power,Resistance.Power,Daikin.Heat.Added,Pump.Power.30min,Daikin.Power.10min,City.Water.Temp,Recirc.Return.Temp,Water.HX.Outlet.Temp,Water.To.Fixtures.Temp,Water.To.TrimTank.Temp,Garage.Temp,Water.HX.Inlet.Temp,value,Recirc.Flow,HX.Loop.Flow,Garage.RH,dates,timestep_sum
596,2016-05-15 20:00:00,2016-05-15,20,0.0,0.0,0.0,,,,5104.4888848769,,,59.5566666666667,111.5115,131.123666666667,114.137166666667,129.775166666667,61.704833333333305,128.72966666666701,15.707999999999998,4.01666666666667,14.536133333333302,69.89433333333331,2016-05-15,1
597,2016-05-15 21:00:00,2016-05-15,21,0.0,0.0,0.0,,,,3097.82319038687,,,61.3675,114.47216666666701,131.472833333333,116.8685,130.160833333333,62.4498333333333,130.020666666667,5.983999999999998,4.0333333333333306,14.5486,68.578,2016-05-15,1
598,2016-05-15 22:00:00,2016-05-15,22,0.0,0.0,0.0,,,,2948.0267198124297,,,,113.888166666667,131.114,116.283166666667,130.496,63.0401666666667,129.733,7.48000000000002,4.0333333333333306,14.5486,68.1921666666667,2016-05-15,1
599,2016-05-15 23:00:00,2016-05-15,23,0.0,0.0,0.0,,,,92.24010668229789,,,,115.86866666666701,126.74783333333299,118.20466666666701,130.2235,66.2923333333333,126.70466666666701,0.0,4.01666666666667,14.5486,59.8753333333333,2016-05-15,1
600,2016-05-16 00:00:00,2016-05-16,0,0.0,0.0,0.0,,,,111.748569284877,,,,115.976166666667,123.71799999999999,118.242333333333,129.9385,66.3325,123.66566666666701,0.0,4.0333333333333306,14.561066666666699,59.7728333333333,2016-05-16,1
601,2016-05-16 01:00:00,2016-05-16,1,0.0,0.0,0.0,,,,6082.185363085429,,,,115.813833333333,128.058644067797,118.134166666667,129.313666666667,62.2845,125.15833333333299,1.495999999999998,4.01666666666667,14.561066666666699,69.8123333333333,2016-05-16,1
602,2016-05-16 02:00:00,2016-05-16,2,0.0,0.0,0.0,,,,4182.234085814771,,,,115.771666666667,131.552333333333,118.116333333333,128.816833333333,62.0643333333333,129.594333333333,0.0,4.0333333333333306,14.561066666666699,70.07,2016-05-16,1
603,2016-05-16 03:00:00,2016-05-16,3,0.0,0.0,0.0,,,,281.071785932004,,,,115.590833333333,128.576,117.87716666666701,129.92783333333298,64.384,128.445,0.748000000000002,4.01666666666667,14.561066666666699,63.3813333333333,2016-05-16,1
604,2016-05-16 04:00:00,2016-05-16,4,0.0,0.0,0.0,,,,128.532794841735,,,,115.68233333333299,124.7545,118.03399999999999,129.7945,65.5686666666667,124.69433333333299,0.0,4.0333333333333306,14.5486,59.4121666666667,2016-05-16,1
605,2016-05-16 05:00:00,2016-05-16,5,0.0,0.0,0.0,,,,4076.5921955451295,,,,115.67466666666701,125.242666666667,118.0,129.370333333333,63.53,123.328833333333,0.748000000000002,4.0,14.5112,63.742,2016-05-16,1
606,2016-05-16 06:00:00,2016-05-16,6,0.0,0.0,0.0,,,,4726.89866025791,,,,115.399,131.031833333333,117.769333333333,128.5635,61.5585,128.812,3.739999999999998,4.0333333333333306,14.5236666666667,67.859,2016-05-16,1
607,2016-05-16 07:00:00,2016-05-16,7,0.0,0.0,0.0,,,,2481.5605470105497,,,61.515,112.79299999999999,128.71983333333299,114.769166666667,130.144666666667,62.7638333333333,127.55733333333299,19.44799999999998,4.0,14.561066666666699,63.5236666666667,2016-05-16,1
608,2016-05-16 08:00:00,2016-05-16,8,0.0,0.0,0.0,,,,5202.92708792497,,,59.458,112.119666666667,125.6915,114.838833333333,130.35216666666702,62.225166666666695,123.258,13.463999999999999,4.0333333333333306,14.573533333333302,64.6068333333333,2016-05-16,1
609,2016-05-16 09:00:00,2016-05-16,9,0.0,0.0,0.0,,,,4481.936727784289,,,59.076666666666696,114.7485,131.145166666667,116.680833333333,129.589,61.4361666666667,129.0445,10.47199999999998,4.0,14.5486,66.3718333333333,2016-05-16,1
610,2016-05-16 10:00:00,2016-05-16,10,0.0,0.0,0.0,,,,4160.95212661196,,,61.045,113.533166666667,131.7635,116.335333333333,129.988333333333,61.49,129.813666666667,8.22799999999998,4.05,14.5486,65.1575,2016-05-16,1
611,2016-05-16 11:00:00,2016-05-16,11,0.0,0.0,0.0,,,,1571.73850762017,,,60.72,113.2865,128.876333333333,115.757333333333,130.592166666667,62.962333333333305,128.141166666667,12.715999999999982,4.01666666666667,14.561066666666699,60.8595,2016-05-16,1
612,2016-05-16 12:00:00,2016-05-16,12,0.0,0.0,0.0,,,,2289.1087406799497,,,59.78,114.562166666667,125.074333333333,116.885833333333,130.34133333333298,64.0301666666667,123.9985,5.236000000000002,4.0333333333333306,14.536133333333302,58.3365,2016-05-16,1
613,2016-05-16 13:00:00,2016-05-16,13,0.0,0.0,0.0,,,,6049.47003728018,,,59.7054545454545,111.3915,129.90266666666702,113.53383333333299,129.789833333333,61.312,127.0685,22.44,4.0,14.5486,64.3706666666667,2016-05-16,1
614,2016-05-16 14:00:00,2016-05-16,14,0.0,0.0,0.0,,,,4403.53720797187,,,,114.5425,131.197833333333,117.23700000000001,128.827166666667,61.8211666666667,129.132166666667,1.495999999999998,4.0333333333333306,14.536133333333302,63.1658333333333,2016-05-16,1
